Repository,Resolves,Compiles,Passes tests,Overlapping,Additions,Subtractions,Resolved,Replacements,Replacement rate,Downgrades,Upgrades,Change rate,Downgrade steps,Upgrade steps,Change magnitude
f0ng/captcha-killer-modified,True,True,True,12,0,0,12,0,0.0,0,0,0.0,0,0,0
projectdiscovery/nuclei-burp-plugin,True,True,True,5,0,0,5,0,0.0,0,0,0.0,0,0,0
aws/event-ruler,True,True,True,4,0,0,4,2,0.5,0,0,0.0,0,0,0
linux-china/chatgpt-spring-boot-starter,True,True,True,35,11,0,46,1,0.021739130434782608,1,0,0.021739130434782608,1,0,1.0
p2-inc/keycloak-orgs,False,False,False,0,0,0,0,0,0.021739130434782608,0,0,0.0,0,0,0
LuckyPuppy514/jproxy,True,True,True,86,2,0,88,3,0.03409090909090909,1,0,0.011363636363636364,2,0,2.0
rubyangxg/jd-qinglong,True,True,True,175,5,0,150,3,0.02,0,0,0.0,0,0,0
SonicCloudOrg/sonic-driver-core,True,True,True,10,0,0,10,0,0.0,0,0,0.0,0,0,0
DBOS-project/apiary,True,True,True,143,0,0,141,4,0.028368794326241134,4,2,0.0425531914893617,34,27,10.166666666666666
clarisma/geodesk,True,True,True,4,0,0,4,0,0.0,0,0,0.0,0,0,0
anhtester/AutomationFrameworkSelenium,False,False,False,0,0,0,0,0,0.0,0,0,0.0,0,0,0
openapi-json-schema-tools/openapi-json-schema-generator,True,True,True,71,2,0,73,2,0.0273972602739726,0,1,0.0136986301369863,0,26,26.0
HamaWhiteGG/flink-sql-security,False,False,False,0,0,0,0,0,0.0273972602739726,0,0,0.0,0,0,0
LiLittleCat/tools-in-ruanyf-weekly,True,True,True,8,0,0,8,0,0.0,0,0,0.0,0,0,0
apache/rocketmq-dashboard,True,True,True,170,1,0,171,2,0.011695906432748537,1,1,0.011695906432748537,2,3,2.5
logpresso/CVE-2021-44228-Scanner,True,True,True,2,0,0,2,0,0.0,0,0,0.0,0,0,0
Hakky54/certificate-ripper,True,True,True,4,0,0,4,0,0.0,0,0,0.0,0,0,0
ECharts-Java/ECharts-Java,True,True,True,4,0,0,4,0,0.0,0,0,0.0,0,0,0
Ninjabrain1/Ninjabrain-Bot,True,True,True,4,0,0,4,1,0.25,0,0,0.0,0,0,0
rememberber/MooInfo,True,True,True,40,0,0,40,1,0.025,0,0,0.0,0,0,0
