PR,GA,old version,new version,update type,compatible (ground truth),compatible (test suite),compatible (Uppdarera),compatible (ours)
spotify/dbeam#189,org.apache.avro:avro,1.9.1,1.9.2,patch,1,0,0,STATICALLY_INCOMPATIBLE
airsonic/airsonic#1622,org.apache.commons:commons-lang3,3.9,3.10,minor,1,1,0,STATICALLY_INCOMPATIBLE
bitrich-info/xchange-stream#570,com.pubnub:pubnub-gson,4.31.0,4.31.1,patch,1,1,0,NO_MAVEN
CROSSINGTUD/CryptoAnalysis#245,org.eclipse.emf:org.eclipse.emf.common,2.15.0,2.18.0,minor,1,1,0,STATICALLY_INCOMPATIBLE
dbmdz/imageio-jnr#84,com.github.jnr:jnr-ffi,2.1.12,2.1.13,patch,1,1,0,NO_COMPILE
dnsimple/dnsimple-java#23,com.google.code.gson:gson,2.2.4,2.8.6,minor,1,1,1,STATICALLY_INCOMPATIBLE
smallrye/smallrye-config#289,io.smallrye.common:smallrye-common-expression,1.0.0,1.0.1,patch,1,1,1,NO_GITHUB_LINK
dropwizard/metrics#1567,org.jdbi:jdbi3-core,3.12.2,3.13.0,minor,1,1,1,NO_GITHUB_LINK
s4u/pgverify-maven-plugin#96,io.github.resilience4j:resilience4j-retry,1.3.1,1.4.0,minor,1,1,1,NO_MAVEN
UniversalMediaServer/UniversalMediaServer#1987,org.apache.commons:commons-text,1.3,1.8,minor,0,1,0,NO_GITHUB_LINK
CSUC/wos-times-cited-service#36,org.apache.httpcomponents:httpclient,4.5.11,4.5.12,patch,1,1,0,NO_GITHUB_LINK
Grundlefleck/ASM-NonClassloadingExtensions#25,org.ow2.asm:asm-analysis,7.0,8.0.1,major,1,1,0,NO_GITHUB_LINK
RohanNagar/lightning#211,io.dropwizard:dropwizard-auth,1.3.17,2.0.8,major,0,0,0,STATICALLY_INCOMPATIBLE
zalando/riptide#932,io.micrometer:micrometer-core,1.3.6,1.4.1,minor,0,1,0,STATICALLY_INCOMPATIBLE
pinterest/secor#1273,com.amazonaws:aws-java-sdk-s3,1.11.763,1.11.764,patch,1,1,1,NO_GITHUB_LINK
michael-simons/neo4j-migrations#60,io.github.classgraph:classgraph,4.8.68,4.8.71,patch,1,1,1,COMPATIBLE
zaproxy/crawljax#115,org.apache.commons:commons-lang3,3.3.2,3.10,minor,0,1,0,STATICALLY_INCOMPATIBLE
hub4j/github-api#793,com.squareup.okio:okio,2.5.0,2.6.0,minor,1,1,1,NO_MAVEN
zalando/logbook#750,io.netty:netty-codec-http,4.1.48.Final,4.1.49.Final,patch,1,1,1,NO_GITHUB_LINK
