gav,compatible_versions
org.apache.logging.log4j:log4j-core:2.0.2,"['2.3.1', '2.3', '2.2', '2.1', '2.0.2']"
org.apache.logging.log4j:log4j-core:2.10.0,"['2.12.2', '2.12.1', '2.12.0', '2.11.2', '2.11.1', '2.11.0', '2.10.0']"
org.apache.logging.log4j:log4j-core:2.11.0,"['2.12.2', '2.12.1', '2.12.0', '2.11.2', '2.11.1', '2.11.0']"
org.apache.logging.log4j:log4j-core:2.11.1,"['2.12.2', '2.12.1', '2.12.0', '2.11.2', '2.11.1']"
org.apache.logging.log4j:log4j-core:2.11.2,"['2.12.2', '2.12.1', '2.12.0', '2.11.2']"
org.apache.logging.log4j:log4j-core:2.12.0,"['2.12.2', '2.12.1', '2.12.0']"
org.apache.logging.log4j:log4j-core:2.12.1,"['2.12.2', '2.12.1']"
org.apache.logging.log4j:log4j-core:2.13.0,"['2.15.0', '2.14.1', '2.14.0', '2.13.3', '2.13.2', '2.13.1', '2.13.0']"
org.apache.logging.log4j:log4j-core:2.13.1,"['2.15.0', '2.14.1', '2.14.0', '2.13.3', '2.13.2', '2.13.1']"
org.apache.logging.log4j:log4j-core:2.13.2,"['2.15.0', '2.14.1', '2.14.0', '2.13.3', '2.13.2']"
org.apache.logging.log4j:log4j-core:2.13.3,"['2.15.0', '2.14.1', '2.14.0', '2.13.3']"
org.apache.logging.log4j:log4j-core:2.14.0,"['2.15.0', '2.14.1', '2.14.0']"
org.apache.logging.log4j:log4j-core:2.14.1,"['2.15.0', '2.14.1']"
org.apache.logging.log4j:log4j-core:2.2,"['2.3.1', '2.3', '2.2']"
org.apache.logging.log4j:log4j-core:2.5,"['2.12.2', '2.12.1', '2.12.0', '2.11.2', '2.11.1', '2.11.0', '2.10.0', '2.9.1', '2.9.0', '2.8.2', '2.8.1', '2.8', '2.7', '2.6.2', '2.6.1', '2.6', '2.5']"
org.apache.logging.log4j:log4j-core:2.6.1,"['2.12.2', '2.12.1', '2.12.0', '2.11.2', '2.11.1', '2.11.0', '2.10.0', '2.9.1', '2.9.0', '2.8.2', '2.8.1', '2.8', '2.7', '2.6.2', '2.6.1']"
org.apache.logging.log4j:log4j-core:2.6.2,"['2.12.2', '2.12.1', '2.12.0', '2.11.2', '2.11.1', '2.11.0', '2.10.0', '2.9.1', '2.9.0', '2.8.2', '2.8.1', '2.8', '2.7', '2.6.2']"
org.apache.logging.log4j:log4j-core:2.7,"['2.12.2', '2.12.1', '2.12.0', '2.11.2', '2.11.1', '2.11.0', '2.10.0', '2.9.1', '2.9.0', '2.8.2', '2.8.1', '2.8', '2.7']"
org.apache.logging.log4j:log4j-core:2.8,"['2.12.2', '2.12.1', '2.12.0', '2.11.2', '2.11.1', '2.11.0', '2.10.0', '2.9.1', '2.9.0', '2.8.2', '2.8.1', '2.8']"
org.apache.logging.log4j:log4j-core:2.8.2,"['2.12.2', '2.12.1', '2.12.0', '2.11.2', '2.11.1', '2.11.0', '2.10.0', '2.9.1', '2.9.0', '2.8.2']"
